ticker,report_date,report_type,company_name,source_url
FOXT,2026-10-22,TRADING_STMT,Foxtons Group PLC,https://quartr.com/companies/foxtons-group-plc_12591?utm_source=api&utm_medium=25
SDR,2026-10-22,QUARTERLY,Schroders PLC,https://quartr.com/companies/schroders-plc_12451?utm_source=api&utm_medium=25
BARC,2026-10-22,QUARTERLY,Barclays PLC,https://quartr.com/companies/barclays-plc_10241?utm_source=api&utm_medium=25
LSEG,2026-10-22,TRADING_STMT,London Stock Exchange Group PLC,https://quartr.com/companies/london-stock-exchange-group-plc_11352?utm_source=api&utm_medium=25
SBRY,2026-10-22,INTERIM,J Sainsbury PLC,https://quartr.com/companies/j-sainsbury-plc_12450?utm_source=api&utm_medium=25
IHG,2026-10-22,TRADING_STMT,InterContinental Hotels Group PLC,https://quartr.com/companies/intercontinental-hotels-group-plc_6031?utm_source=api&utm_medium=25
REL,2026-10-22,TRADING_STMT,RELX PLC,https://quartr.com/companies/relx-plc_11354?utm_source=api&utm_medium=25
RTO,2026-10-22,TRADING_STMT,Rentokil Initial PLC,https://quartr.com/companies/rentokil-initial-plc_12446?utm_source=api&utm_medium=25
IPF,2026-10-22,TRADING_STMT,International Personal Finance PLC,https://quartr.com/companies/international-personal-finance-plc_19691?utm_source=api&utm_medium=25
BMY,2026-10-22,INTERIM,Bloomsbury Publishing PLC,https://quartr.com/companies/bloomsbury-publishing-plc_14190?utm_source=api&utm_medium=25
SAR,2026-10-22,PRELIM,Sareum Holdings PLC,https://quartr.com/companies/sareum-holdings-plc_20041?utm_source=api&utm_medium=25
HSBA,2026-10-27,QUARTERLY,HSBC Holdings PLC,https://quartr.com/companies/hsbc-holdings-plc_3821?utm_source=api&utm_medium=25
ULTP,2026-10-27,PRELIM,Ultimate Products PLC,https://quartr.com/companies/ultimate-products-plc_14296?utm_source=api&utm_medium=25
LUCE,2026-10-27,TRADING_STMT,Luceco PLC,https://quartr.com/companies/luceco-plc_17907?utm_source=api&utm_medium=25
CCR,2026-10-27,INTERIM,C and C Group PLC,https://quartr.com/companies/cc-group-plc_14200?utm_source=api&utm_medium=25
ULVR,2026-10-28,TRADING_STMT,Unilever PLC,https://quartr.com/companies/unilever-plc_5669?utm_source=api&utm_medium=25
BVXP,2026-10-28,PRELIM,Bioventix PLC,https://quartr.com/companies/bioventix-plc_12472?utm_source=api&utm_medium=25
ECOR,2026-10-28,TRADING_STMT,Ecora Royalties PLC,https://quartr.com/companies/ecora-royalties-plc_14237?utm_source=api&utm_medium=25
GSK,2026-10-28,QUARTERLY,GSK PLC,https://quartr.com/companies/gsk-plc_5175?utm_source=api&utm_medium=25
STAN,2026-10-28,QUARTERLY,Standard Chartered PLC,https://quartr.com/companies/standard-chartered-plc_11963?utm_source=api&utm_medium=25
ELM,2026-10-28,TRADING_STMT,Elementis PLC,https://quartr.com/companies/elementis-plc_14238?utm_source=api&utm_medium=25
HVPE,2026-10-28,INTERIM,HarbourVest Global Private Equity Ltd.,https://quartr.com/companies/harbourvest-global-private-equity-ltd_15098?utm_source=api&utm_medium=25
OCI,2026-10-28,TRADING_STMT,Oakley Capital Investments Ltd.,https://quartr.com/companies/oakley-capital-investments-ltd_15106?utm_source=api&utm_medium=25
ASAI,2026-10-29,TRADING_STMT,ASA International Group PLC,https://quartr.com/companies/asa-international-group-plc_14289?utm_source=api&utm_medium=25
IMI,2026-10-29,TRADING_STMT,IMI PLC,https://quartr.com/companies/imi-plc_12461?utm_source=api&utm_medium=25
STJ,2026-10-29,QUARTERLY,St. James's Place PLC,https://quartr.com/companies/st-jamess-place-plc_12458?utm_source=api&utm_medium=25
SHEL,2026-10-29,QUARTERLY,Shell PLC,https://quartr.com/companies/shell-plc_5695?utm_source=api&utm_medium=25
HLN,2026-10-29,TRADING_STMT,Haleon PLC,https://quartr.com/companies/haleon-plc_12680?utm_source=api&utm_medium=25
NWG,2026-10-30,QUARTERLY,NatWest Group PLC,https://quartr.com/companies/natwest-group-plc_11022?utm_source=api&utm_medium=25
BP,2026-10-30,QUARTERLY,BP PLC,https://quartr.com/companies/bp-plc_4359?utm_source=api&utm_medium=25
TMO,2026-10-30,PRELIM,Time Out Group PLC,https://quartr.com/companies/time-out-group-plc_16010?utm_source=api&utm_medium=25
TM1,2026-10-30,PRELIM,Technology Minerals PLC,https://quartr.com/companies/technology-minerals-plc_14311?utm_source=api&utm_medium=25
WCAT,2026-11-02,PRELIM,Wildcat Gold PLC,https://quartr.com/companies/wildcat-petroleum-plc_14292?utm_source=api&utm_medium=25
IWG,2026-11-03,TRADING_STMT,IWG PLC,https://quartr.com/companies/international-workplace-group-plc_5996?utm_source=api&utm_medium=25
ADVT,2026-11-03,INTERIM,AdvancedAdvT Ltd.,https://quartr.com/companies/advancedadvt-limited_14281?utm_source=api&utm_medium=25
SNWS,2026-11-03,PRELIM,Smiths News PLC,https://quartr.com/companies/smiths-news-plc_14330?utm_source=api&utm_medium=25
TCAP,2026-11-03,TRADING_STMT,TP ICAP Group PLC,https://quartr.com/companies/tp-icap-group-plc_14133?utm_source=api&utm_medium=25
CCH,2026-11-04,TRADING_STMT,Coca-Cola HBC AG,https://quartr.com/companies/coca-cola-hbc-ag_12038?utm_source=api&utm_medium=25
NXT,2026-11-04,TRADING_STMT,Next PLC,https://quartr.com/companies/next-plc_4446?utm_source=api&utm_medium=25
SN,2026-11-04,TRADING_STMT,Smith & Nephew PLC,https://quartr.com/companies/smith-nephew-plc_4208?utm_source=api&utm_medium=25
TRN,2026-11-04,INTERIM,Trainline PLC,https://quartr.com/companies/trainline-plc_12037?utm_source=api&utm_medium=25
MKS,2026-11-04,INTERIM,Marks & Spencer Group PLC,https://quartr.com/companies/marks-spencer-group-plc_11967?utm_source=api&utm_medium=25
LRE,2026-11-04,TRADING_STMT,Lancashire Holdings Ltd.,https://quartr.com/companies/lancashire-holdings-limited_4287?utm_source=api&utm_medium=25
BGEO,2026-11-04,QUARTERLY,Lion Finance Group PLC,https://quartr.com/companies/lion-finance-group-plc_14188?utm_source=api&utm_medium=25
BMS,2026-11-04,INTERIM,Braemar PLC,https://quartr.com/companies/braemar-plc_20148?utm_source=api&utm_medium=25
PRU,2026-11-04,QUARTERLY,Prudential PLC,https://quartr.com/companies/prudential-plc_11532?utm_source=api&utm_medium=25
TATE,2026-11-05,INTERIM,Tate & Lyle PLC,https://quartr.com/companies/tate-lyle-plc_12032?utm_source=api&utm_medium=25
RS1,2026-11-05,INTERIM,RS Group PLC,https://quartr.com/companies/rs-group-plc_12434?utm_source=api&utm_medium=25
OSB,2026-11-05,TRADING_STMT,OSB Group PLC,https://quartr.com/companies/osb-group-plc_13560?utm_source=api&utm_medium=25
DGE,2026-11-05,TRADING_STMT,Diageo PLC,https://quartr.com/companies/diageo-plc_5334?utm_source=api&utm_medium=25
HGT,2026-11-05,QUARTERLY,Hg Capital Trust PLC,https://quartr.com/companies/hgcapital-trust-plc_15100?utm_source=api&utm_medium=25
VTY,2026-11-05,TRADING_STMT,Vistry Group PLC,https://quartr.com/companies/vistry-group-plc_13355?utm_source=api&utm_medium=25
HBR,2026-11-05,TRADING_STMT,Harbour Energy PLC,https://quartr.com/companies/harbour-energy-plc_13503?utm_source=api&utm_medium=25
NG,2026-11-05,INTERIM,National Grid PLC,https://quartr.com/companies/national-grid-plc_4255?utm_source=api&utm_medium=25
MNG,2026-11-05,TRADING_STMT,M&G PLC,https://quartr.com/companies/mg-plc_12441?utm_source=api&utm_medium=25
HWDN,2026-11-05,TRADING_STMT,Howden Joinery Group PLC,https://quartr.com/companies/howden-joinery-group-plc_12469?utm_source=api&utm_medium=25
SMT,2026-11-05,INTERIM,Scottish Mortgage Investment Trust PLC,https://quartr.com/companies/scottish-mortgage-investment-trust-plc_12452?utm_source=api&utm_medium=25
AUTO,2026-11-05,INTERIM,Autotrader Group PLC,https://quartr.com/companies/autotrader-group-plc_3633?utm_source=api&utm_medium=25
BT.A,2026-11-05,INTERIM,BT Group PLC,https://quartr.com/companies/bt-group-plc_12429?utm_source=api&utm_medium=25
HTWS,2026-11-05,TRADING_STMT,Helios Towers PLC,https://quartr.com/companies/helios-towers-plc_14182?utm_source=api&utm_medium=25
IAG,2026-11-06,QUARTERLY,International Airlines Group,https://quartr.com/companies/international-consolidated-airlines-group-sa_11405?utm_source=api&utm_medium=25
TBCG,2026-11-06,QUARTERLY,TBC Bank Group PLC,https://quartr.com/companies/tbc-bank-group-plc_14145?utm_source=api&utm_medium=25
KNOS,2026-11-09,INTERIM,Kainos Group PLC,https://quartr.com/companies/kainos-group-plc_14118?utm_source=api&utm_medium=25
RHIM,2026-11-09,QUARTERLY,RHI-Magnesita N.V.,https://quartr.com/companies/rhi-magnesita-nv_14170?utm_source=api&utm_medium=25
VOD,2026-11-10,QUARTERLY,Vodafone Group PLC,https://quartr.com/companies/vodafone-group-plc_4329?utm_source=api&utm_medium=25
AGT,2026-11-10,PRELIM,AVI Global Trust PLC,https://quartr.com/companies/avi-global-trust-plc_15071?utm_source=api&utm_medium=25
OXIG,2026-11-10,INTERIM,Oxford Instruments PLC,https://quartr.com/companies/oxford-instruments-plc_14138?utm_source=api&utm_medium=25
PCTN,2026-11-11,INTERIM,Picton Property Income Ltd.,https://quartr.com/companies/picton-property-income-limited_20668?utm_source=api&utm_medium=25
SPX,2026-11-11,TRADING_STMT,Spirax Group PLC,https://quartr.com/companies/spirax-group-plc_12457?utm_source=api&utm_medium=25
